1991 census - small area statistics,,,,
ONS Crown Copyright Reserved [from Nomis on 6 May 2026],,,,
,,,,
date,1991,,,
,,,,
1991 frozen ward,S01:1 (Present residents : Total persons ),S01:8 (Absent residents (part of household present) : Total persons ),S01:15 (Absent residents (wholly absent household - enumerated) : Total persons ),S01:22 (Absent residents (wholly absent household - imputed) : Total persons )
11UDFG Lavendon,"1,961",58,44,13
11UDFH Linford,"18,259",333,282,261
11UDFJ Loughton,"14,140",208,240,174
11UDFK Manor Farm,"3,702",43,34,16
11UDFL Newport Pagnell,"13,921",220,144,89
11UDFM Newton,"4,890",50,48,54
11UDFN Olney,"5,720",136,121,29
11UDFP Pineham,"12,099",228,231,333
11UDFQ Sherington,"2,327",84,24,9
11UDFR Stantonbury,"6,760",139,99,30
11UDFS Stony Stratford,"8,047",144,88,49
11UDFT Whaddon,"6,792",107,54,52
11UDFU Woburn Sands,"2,107",38,22,24
11UDFW Wolverton,"7,956",100,90,124
11UDFX Wolverton Stacey Bushes,"6,320",84,113,89
11UDFY Woughton,"9,072",165,105,213
11UEFA Beaconsfield North,"3,882",234,85,39
11UEFB Beaconsfield South,"2,975",102,58,20
11UEFC Beaconsfield West,"2,926",133,41,48
11UEFD Burnham Beeches,"2,583",147,53,51
11UEFE Burnham Church,"2,937",66,30,29
11UEFF Burnham Lent Rise,"5,092",90,55,36
11UEFG Denham North,"3,188",59,73,40
11UEFH Denham South,"3,129",88,74,41
11UEFJ Dorney,702,37,14,11
11UEFK Farnham Royal,"4,864",221,103,95
11UEFL Gerrards Cross North,"2,584",188,61,44
11UEFM Gerrards Cross South,"4,027",234,116,83
11UEFN Hedgerley and Fulmer,"1,266",55,16,12
11UEFP Iver Colnbrook,"1,401",18,21,25
11UEFQ Iver Heath,"3,844",109,68,44
11UEFR Iver Richings Park,"1,685",65,34,24
11UEFS Iver Village,"3,368",68,29,73
11UEFT Stoke Poges,"4,245",147,69,47
11UEFU Taplow,"1,524",60,41,28
11UEFW Wexham,"2,221",41,19,27
11UFFA Bledlow-cum-Saunderton,"2,685",138,50,21
11UFFB Booker and Castlefield,"8,482",122,100,60
11UFFC Bourne End-cum-Hedsor,"5,133",184,99,61
11UFFD Bowerdean and Daws Hill,"7,542",187,75,153
11UFFE Cressex and Frogmoor,"7,435",172,81,122
11UFFF Downley,"2,053",61,18,27
11UFFG Flackwell Heath,"5,760",148,77,38
11UFFH Great Marlow,"1,560",110,24,8
11UFFJ Green Hill and Totteridge,"7,257",229,115,115
11UFFK Hambleden Valley,"2,103",118,46,12
11UFFL Hazlemere Central,"2,835",90,40,19
11UFFM Hazlemere East,"2,988",48,55,17
11UFFN Hazlemere West,"3,095",80,18,5
11UFFP Hughenden Valley,"1,939",70,35,5
11UFFQ Icknield,"2,782",108,33,32
11UFFR Keep Hill and Hicks Farm,"6,752",125,91,59
11UFFS Kingshill,"3,556",126,47,16
11UFFT Lacy Green and Hampden,"2,408",138,59,34
11UFFU Lane End and Piddington,"4,120",112,62,25
11UFFW Little Marlow,"1,301",60,32,15
11UFFX Loudwater,"3,849",57,58,27
11UFFY Marlow Bottom,"3,366",119,42,27
11UFFZ Marlow North,"7,360",230,84,68
11UFGA Marlow South,"5,651",197,95,71
11UFGB Marsh and Micklefield,"7,113",94,75,56
11UFGC Naphill-cum-Bradenham,"3,582",171,88,15
11UFGD Oakridge and Tinkers Wood,"9,123",170,108,299
11UFGE Princes Risborough,"7,659",213,111,38
11UFGF Stokenchurch,"4,676",130,57,77
11UFGG The Wooburns,"4,496",103,70,19
11UFGH Tylers Green,"4,235",189,39,23
11UFGJ West Wycombe and Sands,"7,007",152,97,107
21UBFA Hanover,"9,258",176,149,307
21UBFB Hollingbury,"9,229",138,109,75
21UBFC King's Cliff,"6,671",157,176,667
21UBFD Marine,"9,895",103,127,682
21UBFE Moulsecoomb,"9,468",91,45,145
21UBFF Patcham,"8,352",136,71,203
21UBFG Preston,"9,151",242,173,174
21UBFH Queen's Park,"6,609",103,125,544
21UBFJ Regency,"6,868",155,205,673
21UBFK Rottingdean,"8,272",189,145,343
21UBFL St.Peter's,"8,330",189,161,304
21UBFM Seven Dials,"7,883",158,216,432
21UBFN Stanmer,"7,645",112,53,123
21UBFP Tenantry,"8,512",134,101,248
21UBFQ Westdene,"8,254",219,175,150
21UBFR Woodingdean,"9,309",152,95,226
21UCFA Devonshire,"6,351",86,110,363
21UCFB Downside,"7,399",127,90,86
21UCFC Hampden Park,"7,722",74,53,105
21UCFD Langney,"12,544",117,121,85
21UCFE Meads,"6,337",134,146,271
21UCFF Ocklynge,"6,277",111,99,130
21UCFG Ratton,"7,971",109,93,148
21UCFH Roselands,"7,862",123,124,140
21UCFJ St.Anthony's,"7,711",93,121,58
21UCFK Upperton,"7,333",137,129,305
21UDFA Ashdown,"6,228",110,85,36
21UDFB Braybrooke,"4,842",67,86,141
21UDFC Broomgrove,"4,301",52,54,99
21UDFD Castle,"3,313",26,93,139
21UDFE Central St.Leonards,"3,850",57,88,425
21UDFF Elphinstone,"4,667",67,25,60
21UDFG Gensing,"4,552",63,73,170
21UDFH Hollington,"5,801",64,43,69
21UDFJ Maze Hill,"3,965",50,100,106
21UDFK Mount Pleasant,"5,438",56,55,130
21UDFL Old Hastings,"3,672",61,66,205
21UDFM Ore,"4,896",67,37,71
21UDFN St.Helens,"4,792",92,58,99
21UDFP Silverhill,"4,751",87,60,58
21UDFQ West St.Leonards,"6,134",107,69,137
21UDFR Wishing Tree,"5,464",73,54,64
21UEFA Brunswick and Adelaide,"7,275",145,316,660
21UEFB Goldsmid,"7,743",166,193,414
21UEFC Hangleton,"8,130",105,116,116
21UEFD Nevill,"8,264",106,97,93
21UEFE Portslade North,"8,529",90,93,86
21UEFF Portslade South,"8,660",106,85,113
21UEFG Stanford,"7,727",252,162,204
21UEFH Vallance,"7,605",109,188,424
21UEFJ Westbourne,"8,088",124,185,191
21UEFK Wish,"8,030",127,97,150
21UFFA Barcombe,"1,275",47,25,6
21UFFB Chailey,"2,390",99,44,15
21UFFC Ditchling,"1,748",91,31,12
21UFFD East Saltdean,"2,624",34,46,52
21UFFE Hamsey,837,27,14,3
21UFFF Kingston,"1,802",74,22,47
21UFFG Lewes Bridge,"4,688",82,75,59
21UFFH Lewes Castle,"4,747",98,82,28
21UFFJ Lewes Priory,"5,182",190,89,56
21UFFK Newhaven Denton,"2,992",44,31,24
21UFFL Newhaven Meeching,"3,556",62,66,63
21UFFM Newhaven Valley,"3,239",27,47,59
21UFFN Newick,"2,307",82,49,7
21UFFP Ouse Valley,"1,693",26,32,6
21UFFQ Peacehaven East,"2,778",32,29,45
21UFFR Peacehaven North,"6,899",70,92,95
21UFFS Peacehaven West,"2,767",43,70,72
21UFFT Plumpton,"1,785",64,42,16
21UFFU Ringmer,"4,170",136,127,23
21UFFW Seaford Central,"4,511",107,110,95
21UFFX Seaford East,"4,736",103,100,41
21UFFY Seaford North,"6,196",72,86,92
21UFFZ Seaford West,"4,399",64,137,84
21UFGA Telscombe Cliffs,"3,880",54,63,55
21UFGB Wivelsfield,"1,821",51,19,5
21UGFA Ashburnham,"1,426",64,9,27
21UGFB Battle,"5,457",112,121,42
21UGFC Beckley and Peasmarsh,"1,851",44,21,20
21UGFD Bodian and Ewhurst,"1,270",30,23,27
21UGFE Brede and Udimore,"1,971",56,30,43
21UGFF Burwash,"2,323",95,40,48
21UGFG Camber,"2,103",38,34,12
21UGFH Catsfield and Crowhurst,"1,581",44,15,23
21UGFJ Central,"4,656",55,115,143
21UGFK Collington,"4,545",106,103,61
21UGFL Etchingham and Hurst Green,"2,048",60,34,13
21UGFM Fairlight,"1,484",30,58,33
21UGFN Guestling and Pett,"2,028",50,35,24
21UGFP Northiam,"1,729",41,30,10
21UGFQ Old Town,"4,063",58,58,43
21UGFR Rye,"4,019",60,71,57
21UGFS Sackville,"3,514",38,82,49
21UGFT St.Marks,"5,058",82,119,51
21UGFU St.Michaels,"5,081",72,72,106
21UGFW St.Stephens,"4,984",86,94,81
21UGFX Salehurst,"2,073",54,47,37
21UGFY Sedlescombe and Whatlington,"1,539",35,15,42
21UGFZ Sidley,"5,162",60,79,29
21UGGA Ticehurst,"2,951",86,51,30
21UGGB Westfield,"2,326",64,30,41
21UGGC Winchelsea,"2,317",35,30,61
21UHFA Alfriston,"1,611",59,29,22
21UHFB Arlington,"1,792",60,35,38
21UHFC Buxted,"3,477",141,65,36
21UHFD Chiddingly and East Hoathly,"1,950",69,39,14
21UHFE Crowborough East,"6,269",129,52,53
21UHFF Crowborough North,"5,433",120,72,31
21UHFG Crowborough St Johns,"1,856",85,47,25
21UHFH Crowborough West,"4,695",149,70,34
21UHFJ Danehill,"1,738",100,18,23
21UHFK East Dean,"1,607",55,36,27
21UHFL Fletching,"1,610",70,19,23
21UHFM Forest Row,"4,418",218,55,71
21UHFN Framfield,"1,666",59,25,23
21UHFP Frant,"1,366",58,14,7
21UHFQ Hailsham Central and North,"4,280",53,41,33
21UHFR Hailsham East,"5,028",41,43,31
21UHFS Hailsham South and West,"5,155",62,72,67
21UHFT Hartfield,"1,845",113,50,18
21UHFU Heathfield,"5,987",139,97,57
21UHFW Hellingly,"4,404",74,54,29
21UHFX Herstmonceux,"3,684",112,51,51
21UHFY Horam,"2,294",54,18,27
21UHFZ Maresfield,"2,887",102,74,32
21UHGA Mayfield,"3,291",116,80,28
21UHGB Ninfield,"1,707",27,21,69
21UHGC Pevensey and Westham,"5,546",84,107,76
21UHGD Polegate North,"3,858",52,77,38
21UHGE Polegate South,"3,465",25,57,34
21UHGF Rotherfield,"2,905",126,48,17
21UHGG Uckfield,"11,534",248,202,103
21UHGH Wadhurst,"4,216",176,42,65
21UHGJ Waldron,"4,166",144,70,16
21UHGK Willingdon,"5,598",97,102,49
21UHGL Withyham,"2,336",107,45,22
22UBFA Billericay East,"10,744",279,155,86
22UBFB Billericay West,"12,027",308,162,95
22UBFC Burstead,"10,220",173,125,176
22UBFD Fryerns Central,"10,236",92,103,93
22UBFE Fryerns East,"10,647",84,124,194
22UBFF Laindon,"11,257",108,109,158
22UBFG Langdon Hills,"12,415",161,118,172
22UBFH Lee Chapel North,"9,425",102,120,44
22UBFJ Nethermayne,"8,902",140,107,74
22UBFK Pitsea East,"14,821",115,151,212
22UBFL Pitsea West,"11,539",96,116,230
22UBFM Vange,"10,409",99,97,177
22UBFN Wickford North,"11,291",129,144,102
