Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,species_before,species_5yr,species_10yr,species_20yr,species_now
Norwich[6],Norwich,Norfolk,East,52°37′15″N 1°19′06″E,Oil (gas turbine),110.0,1966.0,1986,20.0,Clean energy site,Partial,,,,,,,,52.62083333333334,1.3183333333333334,,estimated,538.0,995.0,793.0,1366.0,2021.0
Nottingham[21],Nottingham,Nottinghamshire,East Midlands,52°55′55″N 1°10′01″W,Coal,148.0,1925.0,1981,56.0,Brownfield,Partial,,,,,,,,52.93194444444444,-1.1669444444444446,44.4,estimated,124.0,122.0,123.0,249.0,1947.0
Oldbury nuclear power station,Oldbury,South Gloucestershire,South West,51°38′56″N 2°34′15″W,Nuclear (magnox),470.0,1967.0,2012,45.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.64888888888889,-2.5708333333333333,70.5,estimated,536.0,501.0,616.0,,307.0
Padiham B,Padiham,Lancashire,North West,53°47′44″N 2°19′39″W,Coal,240.0,1957.0,1993,36.0,Remediation then rewilding,Partial,,,,,,,,53.79555555555555,-2.3274999999999997,72.0,estimated,363.0,777.0,716.0,458.0,587.0
Portishead B,Portishead,Somerset,South West,51°29′28″N 2°45′18″W,Oil,298.0,1955.0,1982,27.0,Redeveloped,Full,,,,,,,,51.49111111111111,-2.755,29.8,estimated,503.0,1020.0,1203.0,1853.0,808.0
Portrack,Billingham,County Durham,North East,54°34′16″N 1°16′00″W,Waste,20.0,1977.0,1996,19.0,Redeveloped,Partial,,,,,,,,54.571111111111115,-1.2666666666666666,,estimated,582.0,542.0,578.0,602.0,1040.0
Ratcliffe-on-Soar,Ratcliffe-on-Soar,Nottinghamshire,East Midlands,52°51′55″N 1°15′18″W,Coal,2021.0,1968.0,2024,56.0,Brownfield,Full,,,,,,,,52.86527777777778,-1.255,606.3,estimated,1518.0,,,,1397.0
Richborough,Richborough,Kent,South East,51°18′36″N 1°20′55″E,Coal+oil,360.0,1962.0,1996,34.0,New energy site,Partial,,,,,,,,51.309999999999995,1.348611111111111,108.0,estimated,692.0,1063.0,990.0,1376.0,1769.0
Roosecote A,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,Coal,120.0,1954.0,1986,32.0,Clean energy site,Partial,,,,,,,,54.105,-3.187777777777778,36.0,estimated,183.0,257.0,360.0,228.0,549.0
Roosecote B,Roosecote,Cumbria,North West,54°06′18″N 3°11′16″W,CCGT,229.0,1991.0,2012,21.0,Clean energy site,Partial,,,,,,,,54.105,-3.187777777777778,17.2,estimated,187.0,360.0,606.0,,549.0
Rugeley A,Rugeley,Staffordshire,West Midlands,52°45′25″N 1°54′59″W,Coal,600.0,1963.0,1995,32.0,Remediation then clean redevelopment,Full,,,,,,,,52.75694444444444,-1.9163888888888887,180.0,estimated,757.0,1108.0,1244.0,466.0,585.0
