Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used
High Marnham,Dunham,Nottinghamshire,East Midlands,53°13′44″N 0°47′33″W,Coal,945.0,1959.0,2003,44.0,Renewable energy site,Full,,,,,,,,53.22888888888889,-0.7925,283.5,estimated,0.1,0.1,0.1,0.372,0.936,0.47,0.605,0.605,0.605,,2000.0,0.1,0.1,0.1,0.372,0.936,0.47,0.605,0.605,0.605,,2000.0
Hinkley Point A,Hinkley Point,Somerset,South West,51°12′31″N 3°08′01″W,Nuclear (magnox),470.0,1957.0,2000,43.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20861111111111,-3.133611111111111,70.5,estimated,0.237,0.237,0.237,5.3,2.192,0.16,0.16,0.19,2.624,1.986,2000.0,0.237,0.237,0.237,5.3,2.192,0.16,0.16,0.19,2.624,1.986,2000.0
Hinkley Point B,Hinkley Point,Somerset,South West,51°12′33″N 3°07′39″W,Nuclear (AGR),1220.0,1976.0,2022,46.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20916666666667,-3.1275,,estimated,0.2,0.2,0.2,2.9,1.559,0.2,0.2,0.2,2.9,1.559,2023.0,0.2,0.2,0.2,2.9,1.559,0.2,0.2,0.2,2.9,1.559,2023.0
Huddersfield[11],Huddersfield,West Yorkshire,North East,53°39′09″N 1°46′26″W,Coal,94.0,1893.0,1981,88.0,Redeveloped,Partial,,,,,,,,53.6525,-1.7738888888888888,28.2,estimated,0.168,0.168,0.168,1.15,,0.168,0.168,0.168,1.15,,1990.0,0.168,0.168,0.168,1.15,,0.168,0.168,0.168,1.15,,1990.0
Huncoat,Accrington,Lancashire,North West,53°46′34″N 2°20′16″W,Coal,150.0,1956.0,1984,28.0,Brownfield,Partial,,,,,,,,53.77611111111111,-2.3377777777777777,45.0,estimated,0.079,0.079,0.079,1.545,,0.202,0.202,0.202,1.545,,1990.0,0.079,0.079,0.079,1.545,,0.202,0.202,0.202,1.545,,1990.0
Ince B,Ellesmere Port,Cheshire,North West,,Oil,1050.0,1984.0,1997,13.0,Redeveloped,Partial,,,,,,,,,,105.0,estimated,,,,,,,,,,,2000.0,,,,,,,,,,,2000.0
Ironbridge A,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,200.0,1932.0,1981,49.0,Passive rewilding,Passive rewilding,,,,,,,,52.63,-2.5119444444444445,60.0,estimated,0.071,0.071,0.071,0.103,,0.071,0.071,0.071,0.493,,1990.0,0.071,0.071,0.071,0.103,,0.071,0.071,0.071,0.493,,1990.0
Ironbridge B,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,1000.0,1969.0,2015,46.0,Remediation then redevelopment,Partial,,,,,,,,52.63,-2.5119444444444445,300.0,estimated,0.056,0.056,0.056,0.103,,0.071,0.071,0.071,0.493,,2015.0,0.056,0.056,0.056,0.103,,0.071,0.071,0.071,0.493,,2015.0
Keadby Coal,Scunthorpe,North Lincolnshire,Yorkshire and the Humber,53°35′40″N 0°45′02″W,Coal,360.0,1952.0,1984,32.0,New energy site,Partial,,,,,,,,53.59444444444445,-0.7505555555555555,108.0,estimated,0.079,0.079,0.079,0.316,0.727,0.075,0.075,0.075,0.125,0.727,1990.0,0.079,0.079,0.079,0.316,0.727,0.075,0.075,0.075,0.125,0.727,1990.0
Kingsnorth,Medway,Kent,South East,51°25′08″N 0°36′10″E,Coal,2000.0,1970.0,2012,42.0,Renewable energy site,Full,,,,,,,,51.41888888888889,0.6027777777777777,600.0,estimated,0.15,0.15,0.16,0.91,0.358,0.236,0.236,0.236,0.236,0.416,2015.0,0.15,0.15,0.16,0.91,0.358,0.236,0.236,0.236,0.236,0.416,2015.0
Leicester[21],Leicester,Leicestershire,East Midlands,,OCGT,102.0,1976.0,1990,14.0,Redeveloped,Partial,,,,,,,,,,15.3,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Little Barford A,Little Barford,Bedfordshire,East,52°12′17″N 0°16′02″W,Coal,120.0,1939.0,1981,42.0,New energy site,Partial,,,,,,,,52.20472222222222,-0.2672222222222222,36.0,estimated,0.329,0.329,0.358,0.358,,0.236,0.236,0.358,0.358,,1990.0,0.329,0.329,0.358,0.358,,0.236,0.236,0.358,0.358,,1990.0
Littlebrook C,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Coal,240.0,1956.0,1981,25.0,Brownfield,Full,,,,,,,,51.46527777777778,0.2416666666666666,72.0,estimated,0.23,0.23,0.23,0.34,0.285,0.23,0.23,0.23,0.318,0.285,1990.0,0.23,0.23,0.23,0.34,0.285,0.23,0.23,0.23,0.318,0.285,1990.0
Littlebrook D,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Oil,1370.0,1981.0,2015,34.0,Brownfield,Full,,,,,,,,51.46527777777778,0.2416666666666666,137.0,estimated,0.285,0.285,0.285,0.285,5.736,0.23,0.23,0.23,0.318,0.285,2015.0,0.285,0.285,0.285,0.285,5.736,0.23,0.23,0.23,0.318,0.285,2015.0
Lots Road,Lots Road,Chelsea,Greater London,51°28′40″N 0°10′53″W,Coal,1800.0,1905.0,2002,97.0,Redeveloped,Full,,,,,,,,51.47777777777778,-0.1813888888888888,540.0,estimated,0.025,0.025,0.025,0.15,1.478,0.152,0.152,0.152,0.152,,2000.0,0.025,0.025,0.025,0.15,1.478,0.152,0.152,0.152,0.152,,2000.0
Marchwood A,Marchwood,Hampshire,South East,50°53′54″N 1°26′13″W,oil,480.0,1953.0,1984,31.0,New energy site,Partial,,,,,,,,50.89833333333333,-1.4369444444444444,,estimated,0.158,0.158,0.158,0.158,0.19,0.19,0.19,0.19,0.215,0.19,1990.0,0.158,0.158,0.158,0.158,0.19,0.19,0.19,0.19,0.215,0.19,1990.0
Meaford B,Meaford,Staffordshire,West Midlands,52°55′33″N 2°09′59″W,Coal,240.0,1957.0,1991,34.0,Brownfield,Partial,,,,,,,,52.92583333333333,-2.1663888888888887,72.0,estimated,0.18,0.18,0.285,2.706,,0.18,0.18,0.18,0.902,,1990.0,0.18,0.18,0.285,2.706,,0.18,0.18,0.18,0.902,,1990.0
Mexborough,Mexborough,South Yorkshire,Yorkshire and the Humber,53°29′37″N 1°15′49″W,Coal,120.0,1950.0,1981,31.0,Redeveloped,Partial,,,,,,,,53.493611111111115,-1.263611111111111,36.0,estimated,0.125,0.125,0.125,0.125,,0.135,0.135,0.135,0.15,,1990.0,0.125,0.125,0.125,0.125,,0.135,0.135,0.135,0.15,,1990.0
