Table 5.11 List of major power producer power stations in the United Kingdom operational at the end of May 2024 [note 1],,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select the 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F]   ",,,,,,,,,,,,,,,
"This table contains empty cells, empty cells indicate data not applicable",,,,,,,,,,,,,,,
Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned
Anesco,Stud Farm ,Solar,PV,No,Solar,,  2.4 ,LV,England,East Midlands,NG228SX,,464448.0,361853.0,2016
Anesco,Brookside ,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,CV379RG,,414476.0,254127.0,2016
Anesco,The Leys,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,CV379RG,,415118.0,253833.0,2016
Anesco,Troughton,Solar,PV,No,Solar,,  30.9 ,LV,England,South West,GL207BW,,,,2016
Anesco,Waycock,Solar,PV,No,Solar,,  7.4 ,LV,Wales,Wales,CF623AA,,,,2016
Anesco,Misson Park,Solar,PV,No,Solar,,  5.0 ,LV,England,East Midlands,DN106DP,,,,2016
Anesco,Crow Trees Solar Farm,Solar,PV,No,Solar,,  4.7 ,LV,England,East Midlands,NG171JF,,,,2016
Anesco,Southfield,Solar,PV,No,Solar,,  9.8 ,LV,England,South West,CT67DZ,,357089.0,124014.0,2016
Anesco,Hermitage ,Solar,PV,No,Solar,,  5.0 ,LV,England,East of England,MK455JD,,503595.0,232813.0,2016
Anesco,Brook Hall,Solar,PV,No,Solar,,  4.7 ,LV,England,South West,BA149PT,,385169.0,153475.0,2016
Anesco,Wymeswold - Wide Lane,Solar,PV,No,Solar,,  4.3 ,LV,England,East Midlands,LE126SE,,463380.0,323140.0,2016
Anesco,Abbey Fields Solar Farm,Solar,PV,No,Solar,,  4.9 ,LV,England,South East,ME108HD,,,,2016
Anesco,Warren ,Solar,PV,No,Solar,,  5.0 ,LV,England,South East,SO519AG,,437906.0,121342.0,2016
Anesco,Hungerford ,Solar,PV,No,Solar,,  4.5 ,LV,England,South East,RG278SW,,478178.0,153997.0,2016
Anesco,Blue House,Solar,PV,No,Solar,,  5.0 ,LV,England,North East,TS225PW,,446965.0,526727.0,2016
Anesco,Low Burntoft ,Solar,PV,No,Solar,,  5.0 ,LV,England,North East,TS225PD,,445706.0,527911.0,2016
Anesco,Lucern,Solar,PV,No,Solar,,  4.7 ,LV,England,West Midlands,CV379RG,,415458.0,255809.0,2016
Anesco,Palmersford,Solar,PV,No,Solar,,  3.0 ,LV,England,South West,BH236BG,,409981.0,99040.0,2016
Anesco,The Oaks,Solar,PV,No,Solar,,  4.7 ,LV,England,West Midlands,CV379RG,,415458.0,255809.0,2016
Anesco,Granville,Solar,PV,No,Solar,,  4.4 ,LV,England,West Midlands,TF28PQ,,372363.0,313370.0,2016
Anesco,High Meadow,Solar,PV,No,Solar,,  3.9 ,LV,England,North East,TS211EA,,439442.0,521774.0,2016
Anesco,Heywood Grange,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,ST102PL,,396689.0,345502.0,2016
Anesco,Blisworth Solar Farm,Solar,PV,No,Solar,,  3.6 ,LV,England,East Midlands,NN73DA,,473113.0,252638.0,2016
Anesco,Thame,Solar,PV,No,Solar,,  4.8 ,LV,England,South East,OX93QH,,473366.0,206186.0,2016
Anesco,Michaelston Solar Farm,Solar,PV,No,Solar,,  4.2 ,LV,Wales,Wales,CF36XS,,322998.0,183674.0,2016
Anesco,Greencroft,Solar,PV,No,Solar,,  4.9 ,LV,England,North East,DH97XR,,417307.0,550812.0,2016
Anesco,Moneystone,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,ST102DZ,,404572.0,346224.0,2016
Anesco,Willows Farm,Solar,PV,No,Solar,,  4.6 ,LV,England,West Midlands,WR114TG,,,,2016
Anesco,The Willows,Solar,PV,No,Solar,,  4.7 ,LV,England,West Midlands,CV379RG,,410262.0,333700.0,2016
Anesco,Poplars,Solar,PV,No,Solar,,  5.0 ,LV,England,East of England,CV379RG,,551077.0,298243.0,2016
Anesco,Clayhill,Solar,PV,No,Solar,,  9.8 ,LV,England,East of England,MK455JD,,504351.0,233195.0,2017
Anesco,Ollerton,Solar,PV,No,Solar,,  4.3 ,LV,England,East Midlands,NG229DX,,463220.0,366009.0,2017
Anesco,Nanthenfoel,Solar,PV,No,Solar,,  5.0 ,LV,Wales,Wales,SA487NP,,254014.0,252465.0,2017
Anesco,Albrighton,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,WV91RQ,,383987.0,305139.0,2017
Anesco,Ashton,Solar,PV,No,Solar,,  4.8 ,LV,England,South West,BA146DX,,388976.0,158134.0,2017
Anesco,Blackwell Grange,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,CV364PF,,422892.0,243330.0,2017
Anesco,Hyde Farm,Solar,PV,No,Solar,,  4.9 ,LV,England,South East,MK464DU,,488765.0,253909.0,2017
Anesco,Spring Lane,Solar,PV,No,Solar,,  1.0 ,LV,England,East Midlands,LE651WU,,436639.0,314607.0,2017
Anesco,Moss Thorn,Solar,PV,No,Solar,,  5.0 ,LV,England,North West,CA110BY,,348608.0,530601.0,2017
Anesco,Bristol Water,Solar,PV,No,Solar,,  0.8 ,LV,England,South West,GL139HN,,353895.0,167517.0,2017
Anesco,Bumpers Farm,Solar,PV,No,Solar,,  5.0 ,LV,England,South East,HP279RE,,476303.0,205882.0,2017
Anesco,Wreay,Solar,PV,No,Solar,,  5.0 ,LV,England,North West,CA40PY,,342315.0,547311.0,2017
Anesco,Bumpers Farm 2,Solar,PV,No,Solar,,  12.0 ,LV,England,South East,HP279RE,,,,2020
Anesco,Soho Farm,Solar,PV,No,Solar,,  1.7 ,HV,England,South West,BA3 5RD,,,,2014
Anesco,Chalgrove,Solar,PV,No,Solar,,  2.4 ,HV,England,South East,OX44 7SL,,,,2014
Anesco,Nether Mill,Solar,PV,No,Solar,,  3.8 ,HV,England,South West,EX15 2QQ,,,,2015
Anesco,Barr Farm,Solar,PV,No,Solar,,  1.9 ,HV,England,West Midlands,WV10 7BN,,,,2015
Anesco,Dale Farm,Solar,PV,No,Solar,,  5.0 ,HV,Northern Ireland,Northern Ireland,BT80 9UU,,,,2018
Anesco,Wally Corner,Solar,PV,No,Solar,,  5.0 ,HV,England,South East,OX10 7PQ,,,,2017
Anesco,Sandridge,Solar,PV,No,Solar,,  49.6 ,HV,England,South West,SN15 2JN,,,,2015
Anesco,Darran,Solar,PV,No,Solar,,  1.8 ,HV,Wales,Wales,NP12 0HX,,,,2017
Anesco,Langley Priory,Solar,PV,No,Solar,,  2.0 ,HV,England,East Midlands,DE74 2QQ,,,,2016
Anesco,Milborne Port,Solar,PV,No,Solar,,  3.3 ,,England,South West,DT9 5EF,,,,2017
Anesco,Derwyn,Solar,PV,No,Solar,,  4.7 ,,Wales,Wales,CF62 3AA,,,,2016
Anesco,Priors Byne,Solar,PV,No,Solar,,  8.0 ,,England,South East,RH13 8NX,,,,2022
Anesco,Sutor,Solar,PV,No,Solar,,  5.0 ,,England,South West,BA9 9RA,,,,2016
Anesco,Biglis,Solar,PV,No,Solar,,  5.0 ,,Wales,Wales,CF63 1BL,,,,2016
Anesco,Chard,Solar,PV,No,Solar,,  3.0 ,,England,South West,TA20 1RR,,,,2022
Anesco,Spear Hill,Solar,PV,No,Solar,,  5.0 ,,England,South East,RH20 3BA,,,,2016
