Facility ID",Height class (1-5),Longitude,Latitude,NOx (as NO2),NMVOC,SOx (as SO2),NH3,PM2.5,PM10,CO,Pb,Cd,Hg,PCDD/ PCDF (dioxins/ furans),PAHs,HCB,PCBs
,,,,deg,deg,kt,kt,kt,kt,kt,kt,kt,t,t,t,g I-Teq,t,kg,kg
3274_Botcherby,E_Solvents,,1,-2.90569639,54.88816243,NA,0.3569326712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3275_Leicester,E_Solvents,,1,-1.195826593,52.63066462,NA,0.3917952157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3301_Wrexham,E_Solvents,,1,-2.927594258,53.03825229,NA,0.3614310865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3343_Halewood,E_Solvents,,1,-2.826170035,53.34912522,NA,0.1677859144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3372_Swindon,E_Solvents,,1,-1.740871745,51.59388328,NA,0.2694404697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3411_Leyland,E_Solvents,,1,-2.698169603,53.69690158,NA,0.2439986957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3445_Sunderland,E_Solvents,,1,-1.467965414,54.92003157,NA,0.7674468158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3469_Milton Keynes,E_Solvents,,1,-0.7078916286,52.0528918,NA,0.3104977084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3470_Wakefield,E_Solvents,,1,-1.520886403,53.71654114,NA,0.1734292466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3478_Cowley,E_Solvents,,1,-1.191622942,51.73625679,NA,0.2740900527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3480_Solihull,E_Solvents,,1,-1.771271528,52.43537597,NA,0.497400847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3558_Burnaston,E_Solvents,,1,-1.573936749,52.87308079,NA,0.2740172331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4907_Warmley,E_Solvents,,1,-2.475364608,51.45516769,NA,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6996_Luton,E_Solvents,,1,-0.396600613,51.87384839,NA,0.425537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7828_Castleford,E_Solvents,,1,-1.389877791,53.71122714,NA,0.242948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9682_Dundee,E_Solvents,,1,-2.955034919,56.46843356,NA,0.1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9860_Killyhevlin Industrial Esate,E_Solvents,,1,-7.61949145,54.33155621,NA,0.171967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12040_Fawley High Temperature Incinerator,J_Waste,,2,-1.387645792,50.84946463,0.170296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13408_Cumbernauld,J_Waste,,1,-3.95529206,55.96938455,0.1401218925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41326_Cheddleton Site,J_Waste,,1,-2.041730725,53.05238055,0.283974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43140_Hooton Park Sustainable Energy Facility,J_Waste,,2,-2.945221538,53.31174602,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA
43224_Milton Keynes Waste Recovery Park,J_Waste,,1,-0.8182083024,52.06772497,0.1249097072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43311_London Sustainable Industries Park,J_Waste,,1,0.137292502,51.52112294,0.110675441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9454_Porton Down,J_Waste,,2,-1.708849125,51.1296656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,NA,NA,NA
"9884_Lower Chapel Bridge Yard, Newport",J_Waste,,1,-3.133749902,51.63524084,0.1811005248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
