Facility ID",Height class (1-5),Longitude,Latitude,NOx (as NO2),NMVOC,SOx (as SO2),NH3,PM2.5,PM10,CO,Pb,Cd,Hg,PCDD/ PCDF (dioxins/ furans),PAHs,HCB,PCBs
,,,,deg,deg,kt,kt,kt,kt,kt,kt,kt,t,t,t,g I-Teq,t,kg,kg
8764_Elean,A_PublicPower,,2,0.1340057939,52.39513994,0.1373,NA,NA,NA,NA,NA,0.7339,NA,NA,NA,NA,NA,NA,NA
8980_Coolkeeragh,A_PublicPower,,2,-7.245600475,55.04410161,0.42348,NA,NA,NA,NA,NA,0.521013,NA,NA,NA,NA,NA,NA,NA
8981_Kilroot,A_PublicPower,,4,-5.812166616,54.70396101,0.48057,NA,0.46513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22755773
8982_Ballylumford,A_PublicPower,,4,-5.773705323,54.85804757,0.7567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9246_Sheffield,A_PublicPower,,2,-1.449698559,53.38487628,0.211924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9299_Allington Quarry,A_PublicPower,,2,0.4912901093,51.29280684,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA
"9855_Deeside Industrial Estate, Deeside",A_PublicPower,,2,-3.034194323,53.23585823,0.250867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9872_Margam Green Energy Plant Land off Longlands Lane, Neath Port Talbot",A_PublicPower,,2,-3.746818753,51.5633337,0.200811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10098_Deeside,B_Industry,,1,-3.006985908,53.23204612,NA,0.24231641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10107_Barrow Terminal,B_Industry,,1,-3.184108156,54.10241387,0.252105247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10163_Immingham Briquetting Works,B_Industry,,1,-0.2050882821,53.62706077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1351140351
10604_Pembroke Plant,B_Industry,,4,-5.02782814,51.68669191,2.291644394,NA,1.3,NA,0.06614064783,0.1076853392,NA,NA,NA,NA,NA,NA,NA,NA
10763_West Bowling,B_Industry,,1,-1.744565299,53.77955842,NA,0.484,NA,0.012531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10783_South Killingholme Refinery,B_Industry,,3,-0.2440636234,53.63168418,2.279,NA,3.215,NA,0.08724677164,0.143,0.788,NA,NA,NA,NA,NA,NA,NA
11000_Harlow,B_Industry,,1,0.1196199727,51.78573731,NA,0.20523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11035_Maydown,B_Industry,,2,-7.239396035,55.03249977,0.26,NA,0.5592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11042_Cookstown,B_Industry,,2,-6.766103181,54.61779978,0.478,NA,0.182,0.035,NA,NA,NA,NA,NA,0.0128,NA,NA,NA,NA
11050_Derrylin Glass Plant,B_Industry,,2,-7.584400091,54.15920289,0.32987094,NA,0.15108372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11065_South Hook LNG Terminal,B_Industry,,1,-4.988962535,51.71106353,0.3380861866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11135_St Fergus,B_Industry,,2,-1.841128578,57.57955457,0.665144752,NA,NA,NA,NA,NA,0.654803505,NA,NA,NA,NA,NA,NA,NA
11554_Fawley Refinery,B_Industry,,3,-1.355224602,50.83644866,2.762341001,NA,3.896273222,NA,0.09248178245,0.1535758991,0.7363571048,NA,NA,NA,NA,NA,NA,NA
11622_Tawd Paper Mill,B_Industry,,1,-2.321638318,53.47658358,NA,0.190263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11672_Bank Quay,B_Industry,,1,-2.606746316,53.38966986,NA,NA,NA,0.020746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11722_Hythe,B_Industry,,1,-1.355224602,50.83644866,NA,0.890148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
