Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,total_co2_kgCO2e_per_year,Solar_commission_kgCO2e,Wind_commission_kgCO2e,Hydro_commission_kgCO2e,Nuclear_commission_kgCO2e,Biomass_commission_kgCO2e,Solar_co2_saving_kgCO2e_per_year,Wind_co2_saving_kgCO2e_per_year,Hydro_co2_saving_kgCO2e_per_year,Nuclear_co2_saving_kgCO2e_per_year,Biomass_co2_saving_kgCO2e_per_year
Part of PX Group,Fellside CHP,Fossil Fuel,CCGT,Yes,Natural Gas,,105.0,HV,England,North West,CA201PG,,303202.0,503793.0,1995,125701007.0018242,9887850.0,4782960.0,9657900.0,10522512.0,34915608.0,115813157.0018242,120918047.0018242,116043107.0018242,115178495.0018242,90785399.0018242
River Nene,Peterborough Power Station,Fossil Fuel,Single cycle,No,Natural Gas,,245.0,HV,England,East of England,PE15NT,,518401.0,299217.0,1993,293302349.6709231,23071650.0,11160240.0,22535100.0,24552528.0,81469752.0,270230699.6709231,282142109.6709231,270767249.6709231,268749821.6709231,211832597.6709231
River Nene,Croydon,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,London,CR03RL,,,,2005,59857622.381821044,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.381821044,57580022.381821044,55258622.381821044,54846902.381821044,43231142.381821044
River Nene,Derby,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,East Midlands,DE248YF,,,,1997,59857622.381821044,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.381821044,57580022.381821044,55258622.381821044,54846902.381821044,43231142.381821044
River Nene,Exeter,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,South West,EX28QN,,,,2000,59857622.381821044,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.381821044,57580022.381821044,55258622.381821044,54846902.381821044,43231142.381821044
River Nene,Heartlands,Fossil Fuel,Single cycle,,Natural Gas,,100.0,,England,West Midlands,B249FQ,,,,1998,119715244.76364209,9417000.0,4555200.0,9198000.0,10021440.0,33252960.0,110298244.76364209,115160044.76364209,110517244.76364209,109693804.76364209,86462284.76364209
River Nene,Peterborough Power Station PPL2 Gas Engines,Fossil Fuel,Single cycle,,Natural Gas,,49.0,,England,East Midlands,PE15NT,,,,2018,58660469.934184626,4614330.0,2232048.0,4507020.0,4910505.6,16293950.4,54046139.934184626,56428421.934184626,54153449.934184626,53749964.334184624,42366519.53418463
River Nene,Thornhill,Fossil Fuel,Single cycle,,Natural Gas,,40.0,,England,Yorkshire and the Humber,WF129EA,,,,1997,47886097.90545684,3766800.0,1822080.0,3679200.0,4008576.0,13301184.0,44119297.90545684,46064017.90545684,44206897.90545684,43877521.90545684,34584913.90545684
River Nene,Viking,Fossil Fuel,Single cycle,,Natural Gas,,50.0,,England,North East,TS21UB,,,,2000,59857622.381821044,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,55149122.381821044,57580022.381821044,55258622.381821044,54846902.381821044,43231142.381821044
Riverside Resource Recovery,Riverside - Energy from Waste,Bioenergy,Bioenergy,No,MSW,,80.0,HV,England,London,DA176JY,,547200.0,176500.0,2011,17083596.642669007,7533600.0,3644160.0,7358400.0,8017152.0,26602368.0,9549996.642669007,13439436.642669007,9725196.642669007,9066444.642669007,-9518771.357330993
RWE Npower,Little Barford,Fossil Fuel,CCGT,No,Natural Gas,,723.0,HV,England,East of England,PE196YT,,519049.0,256838.0,1995,865541219.6411325,68084910.0,32934096.0,66501540.0,72455011.2,240418900.8,797456309.6411325,832607123.6411325,799039679.6411325,793086208.4411324,625122318.8411324
